target "start time (UTC)" "end time (UTC)"
M31-pointing-1e "2019-02-16 03:30:00.000" "2019-02-16 04:11:40.000"
TransitionBlock "2019-02-16 04:11:40.000" "2019-02-16 04:12:20.000"
"Unused Time" "2019-02-16 04:12:20.000" "2019-02-16 04:18:20.002"
CAL_CRL618 "2019-02-16 04:18:20.002" "2019-02-16 04:21:20.002"
TransitionBlock "2019-02-16 04:21:20.002" "2019-02-16 04:22:00.002"
CAL_N2071IR "2019-02-16 04:22:00.002" "2019-02-16 04:25:00.002"
TransitionBlock "2019-02-16 04:25:00.002" "2019-02-16 04:25:20.002"
"Unused Time" "2019-02-16 04:25:20.002" "2019-02-16 04:25:40.002"
CAL_0529+075 "2019-02-16 04:25:40.002" "2019-02-16 04:28:40.002"
TransitionBlock "2019-02-16 04:28:40.002" "2019-02-16 04:29:40.002"
"Unused Time" "2019-02-16 04:29:40.002" "2019-02-16 04:31:40.002"
M31-pointing-1e "2019-02-16 04:31:40.002" "2019-02-16 05:13:20.002"
TransitionBlock "2019-02-16 05:13:20.002" "2019-02-16 05:14:00.002"
"Unused Time" "2019-02-16 05:14:00.002" "2019-02-16 05:15:00.004"
CAL_CRL618 "2019-02-16 05:15:00.004" "2019-02-16 05:18:00.004"
TransitionBlock "2019-02-16 05:18:00.004" "2019-02-16 05:18:40.004"
"Unused Time" "2019-02-16 05:18:40.004" "2019-02-16 05:22:20.004"
CAL_N2071IR "2019-02-16 05:22:20.004" "2019-02-16 05:25:20.004"
TransitionBlock "2019-02-16 05:25:20.004" "2019-02-16 05:25:40.004"
"Unused Time" "2019-02-16 05:25:40.004" "2019-02-16 05:26:00.004"
CAL_0529+075 "2019-02-16 05:26:00.004" "2019-02-16 05:29:00.004"
TransitionBlock "2019-02-16 05:29:00.004" "2019-02-16 05:29:20.004"
"Unused Time" "2019-02-16 05:29:20.004" "2019-02-16 05:35:00.005"
"Orion A Field 2" "2019-02-16 05:35:00.005" "2019-02-16 06:16:00.005"
TransitionBlock "2019-02-16 06:16:00.005" "2019-02-16 06:16:20.005"
