target "start time (UTC)" "end time (UTC)"
"R Crt" "2019-05-27 03:30:00.000" "2019-05-27 04:14:20.000"
TransitionBlock "2019-05-27 04:14:20.000" "2019-05-27 04:15:20.000"
"Unused Time" "2019-05-27 04:15:20.000" "2019-05-27 04:22:40.002"
CAL_1153+495 "2019-05-27 04:22:40.002" "2019-05-27 04:25:40.002"
TransitionBlock "2019-05-27 04:25:40.002" "2019-05-27 04:26:20.002"
CAL_IRC+10216 "2019-05-27 04:26:20.002" "2019-05-27 04:29:20.002"
TransitionBlock "2019-05-27 04:29:20.002" "2019-05-27 04:29:40.002"
"R Leo" "2019-05-27 04:29:40.002" "2019-05-27 05:14:00.002"
TransitionBlock "2019-05-27 05:14:00.002" "2019-05-27 05:14:20.002"
"Unused Time" "2019-05-27 05:14:20.002" "2019-05-27 05:15:00.004"
CAL_IRC+10216 "2019-05-27 05:15:00.004" "2019-05-27 05:18:00.004"
TransitionBlock "2019-05-27 05:18:00.004" "2019-05-27 05:19:20.004"
"Unused Time" "2019-05-27 05:19:20.004" "2019-05-27 05:20:20.004"
CAL_Arp220 "2019-05-27 05:20:20.004" "2019-05-27 05:23:20.004"
TransitionBlock "2019-05-27 05:23:20.004" "2019-05-27 05:24:20.004"
"Unused Time" "2019-05-27 05:24:20.004" "2019-05-27 05:25:20.004"
CAL_1153+495 "2019-05-27 05:25:20.004" "2019-05-27 05:28:20.004"
TransitionBlock "2019-05-27 05:28:20.004" "2019-05-27 05:29:20.004"
"Unused Time" "2019-05-27 05:29:20.004" "2019-05-27 05:31:00.004"
"R Crt" "2019-05-27 05:31:00.004" "2019-05-27 06:15:20.004"
TransitionBlock "2019-05-27 06:15:20.004" "2019-05-27 06:16:00.004"
"Unused Time" "2019-05-27 06:16:00.004" "2019-05-27 06:16:20.006"
CAL_IRC+10216 "2019-05-27 06:16:20.006" "2019-05-27 06:19:20.006"
TransitionBlock "2019-05-27 06:19:20.006" "2019-05-27 06:20:40.006"
"Unused Time" "2019-05-27 06:20:40.006" "2019-05-27 06:22:00.006"
CAL_Arp220 "2019-05-27 06:22:00.006" "2019-05-27 06:25:00.006"
TransitionBlock "2019-05-27 06:25:00.006" "2019-05-27 06:26:00.006"
"Unused Time" "2019-05-27 06:26:00.006" "2019-05-27 06:26:40.006"
CAL_1153+495 "2019-05-27 06:26:40.006" "2019-05-27 06:29:40.006"
TransitionBlock "2019-05-27 06:29:40.006" "2019-05-27 06:30:40.006"
"R Crt" "2019-05-27 06:30:40.006" "2019-05-27 07:15:00.006"
TransitionBlock "2019-05-27 07:15:00.006" "2019-05-27 07:15:40.006"
"Unused Time" "2019-05-27 07:15:40.006" "2019-05-27 07:16:20.008"
CAL_IRC+10216 "2019-05-27 07:16:20.008" "2019-05-27 07:19:20.008"
TransitionBlock "2019-05-27 07:19:20.008" "2019-05-27 07:20:00.008"
"Unused Time" "2019-05-27 07:20:00.008" "2019-05-27 07:20:40.008"
CAL_1153+495 "2019-05-27 07:20:40.008" "2019-05-27 07:23:40.008"
TransitionBlock "2019-05-27 07:23:40.008" "2019-05-27 07:24:40.008"
"Unused Time" "2019-05-27 07:24:40.008" "2019-05-27 07:25:00.009"
CAL_Arp220 "2019-05-27 07:25:00.009" "2019-05-27 07:28:00.009"
TransitionBlock "2019-05-27 07:28:00.009" "2019-05-27 07:28:20.009"
"Unused Time" "2019-05-27 07:28:20.009" "2019-05-27 07:29:20.009"
"U Her" "2019-05-27 07:29:20.009" "2019-05-27 08:13:40.009"
TransitionBlock "2019-05-27 08:13:40.009" "2019-05-27 08:14:00.009"
"Unused Time" "2019-05-27 08:14:00.009" "2019-05-27 08:21:20.011"
CAL_Arp220 "2019-05-27 08:21:20.011" "2019-05-27 08:24:20.011"
TransitionBlock "2019-05-27 08:24:20.011" "2019-05-27 08:25:20.011"
"Unused Time" "2019-05-27 08:25:20.011" "2019-05-27 08:25:40.011"
CAL_1153+495 "2019-05-27 08:25:40.011" "2019-05-27 08:28:40.011"
TransitionBlock "2019-05-27 08:28:40.011" "2019-05-27 08:29:20.011"
"RT Vir" "2019-05-27 08:29:20.011" "2019-05-27 09:13:40.011"
TransitionBlock "2019-05-27 09:13:40.011" "2019-05-27 09:14:20.011"
"Unused Time" "2019-05-27 09:14:20.011" "2019-05-27 09:15:00.013"
CAL_1153+495 "2019-05-27 09:15:00.013" "2019-05-27 09:18:00.013"
TransitionBlock "2019-05-27 09:18:00.013" "2019-05-27 09:18:40.013"
"Unused Time" "2019-05-27 09:18:40.013" "2019-05-27 09:19:20.013"
"BK Vir" "2019-05-27 09:19:20.013" "2019-05-27 10:03:40.013"
TransitionBlock "2019-05-27 10:03:40.013" "2019-05-27 10:04:20.013"
"Unused Time" "2019-05-27 10:04:20.013" "2019-05-27 10:17:20.015"
CAL_1153+495 "2019-05-27 10:17:20.015" "2019-05-27 10:20:20.015"
TransitionBlock "2019-05-27 10:20:20.015" "2019-05-27 10:21:20.015"
"Unused Time" "2019-05-27 10:21:20.015" "2019-05-27 10:21:40.015"
CAL_Arp220 "2019-05-27 10:21:40.015" "2019-05-27 10:24:40.015"
TransitionBlock "2019-05-27 10:24:40.015" "2019-05-27 10:25:00.015"
"Unused Time" "2019-05-27 10:25:00.015" "2019-05-27 10:27:00.015"
"RX Boo" "2019-05-27 10:27:00.015" "2019-05-27 11:11:20.015"
TransitionBlock "2019-05-27 11:11:20.015" "2019-05-27 11:12:40.015"
"Unused Time" "2019-05-27 11:12:40.015" "2019-05-27 11:15:40.017"
CAL_MWC349 "2019-05-27 11:15:40.017" "2019-05-27 11:18:40.017"
TransitionBlock "2019-05-27 11:18:40.017" "2019-05-27 11:19:20.017"
"Unused Time" "2019-05-27 11:19:20.017" "2019-05-27 11:21:00.017"
CAL_1739+522 "2019-05-27 11:21:00.017" "2019-05-27 11:24:00.017"
TransitionBlock "2019-05-27 11:24:00.017" "2019-05-27 11:25:00.017"
CAL_G34.3 "2019-05-27 11:25:00.017" "2019-05-27 11:28:00.017"
TransitionBlock "2019-05-27 11:28:00.017" "2019-05-27 11:28:40.017"
"Unused Time" "2019-05-27 11:28:40.017" "2019-05-27 11:29:00.018"
"U Her" "2019-05-27 11:29:00.018" "2019-05-27 12:13:20.018"
TransitionBlock "2019-05-27 12:13:20.018" "2019-05-27 12:14:20.018"
"Unused Time" "2019-05-27 12:14:20.018" "2019-05-27 12:16:00.019"
CAL_MWC349 "2019-05-27 12:16:00.019" "2019-05-27 12:19:00.019"
TransitionBlock "2019-05-27 12:19:00.019" "2019-05-27 12:19:40.019"
"Unused Time" "2019-05-27 12:19:40.019" "2019-05-27 12:20:20.019"
CAL_1739+522 "2019-05-27 12:20:20.019" "2019-05-27 12:23:20.019"
TransitionBlock "2019-05-27 12:23:20.019" "2019-05-27 12:24:20.019"
"Unused Time" "2019-05-27 12:24:20.019" "2019-05-27 12:25:40.020"
CAL_G34.3 "2019-05-27 12:25:40.020" "2019-05-27 12:28:40.020"
TransitionBlock "2019-05-27 12:28:40.020" "2019-05-27 12:29:20.020"
"Unused Time" "2019-05-27 12:29:20.020" "2019-05-27 12:30:00.020"
"U Her" "2019-05-27 12:30:00.020" "2019-05-27 13:14:20.020"
TransitionBlock "2019-05-27 13:14:20.020" "2019-05-27 13:15:20.020"
"Unused Time" "2019-05-27 13:15:20.020" "2019-05-27 13:16:00.021"
CAL_MWC349 "2019-05-27 13:16:00.021" "2019-05-27 13:19:00.021"
TransitionBlock "2019-05-27 13:19:00.021" "2019-05-27 13:19:40.021"
"Unused Time" "2019-05-27 13:19:40.021" "2019-05-27 13:21:00.022"
CAL_1739+522 "2019-05-27 13:21:00.022" "2019-05-27 13:24:00.022"
TransitionBlock "2019-05-27 13:24:00.022" "2019-05-27 13:25:00.022"
CAL_G34.3 "2019-05-27 13:25:00.022" "2019-05-27 13:28:00.022"
TransitionBlock "2019-05-27 13:28:00.022" "2019-05-27 13:28:40.022"
"Unused Time" "2019-05-27 13:28:40.022" "2019-05-27 13:29:40.022"
"U Her" "2019-05-27 13:29:40.022" "2019-05-27 14:14:00.022"
TransitionBlock "2019-05-27 14:14:00.022" "2019-05-27 14:14:40.022"
"Unused Time" "2019-05-27 14:14:40.022" "2019-05-27 14:15:40.024"
CAL_G34.3 "2019-05-27 14:15:40.024" "2019-05-27 14:18:40.024"
TransitionBlock "2019-05-27 14:18:40.024" "2019-05-27 14:19:40.024"
"Unused Time" "2019-05-27 14:19:40.024" "2019-05-27 14:20:00.024"
CAL_1739+522 "2019-05-27 14:20:00.024" "2019-05-27 14:23:00.024"
TransitionBlock "2019-05-27 14:23:00.024" "2019-05-27 14:23:40.024"
"Unused Time" "2019-05-27 14:23:40.024" "2019-05-27 14:27:00.024"
CAL_MWC349 "2019-05-27 14:27:00.024" "2019-05-27 14:30:00.024"
TransitionBlock "2019-05-27 14:30:00.024" "2019-05-27 14:30:40.024"
"Unused Time" "2019-05-27 14:30:40.024" "2019-05-27 15:15:20.026"
CAL_1739+522 "2019-05-27 15:15:20.026" "2019-05-27 15:18:20.026"
TransitionBlock "2019-05-27 15:18:20.026" "2019-05-27 15:19:00.026"
"Unused Time" "2019-05-27 15:19:00.026" "2019-05-27 15:19:40.026"
CAL_MWC349 "2019-05-27 15:19:40.026" "2019-05-27 15:22:40.026"
TransitionBlock "2019-05-27 15:22:40.026" "2019-05-27 15:23:20.026"
"Unused Time" "2019-05-27 15:23:20.026" "2019-05-27 15:26:40.026"
CAL_G34.3 "2019-05-27 15:26:40.026" "2019-05-27 15:29:40.026"
"Unused Time" "2019-05-27 15:29:40.026" "2019-05-27 16:16:40.028"
CAL_G34.3 "2019-05-27 16:16:40.028" "2019-05-27 16:19:40.028"
TransitionBlock "2019-05-27 16:19:40.028" "2019-05-27 16:20:20.028"
"Unused Time" "2019-05-27 16:20:20.028" "2019-05-27 16:27:00.000"
CAL_MWC349 "2019-05-27 16:27:00.000" "2019-05-27 16:30:00.000"
