target "start time (UTC)" "end time (UTC)"
"Unused Time" "2019-05-29 03:30:00.000" "2019-05-29 04:18:20.002"
CAL_IRC+10216 "2019-05-29 04:18:20.002" "2019-05-29 04:21:20.002"
TransitionBlock "2019-05-29 04:21:20.002" "2019-05-29 04:22:00.002"
"Unused Time" "2019-05-29 04:22:00.002" "2019-05-29 04:22:40.002"
CAL_1153+495 "2019-05-29 04:22:40.002" "2019-05-29 04:25:40.002"
TransitionBlock "2019-05-29 04:25:40.002" "2019-05-29 04:26:40.002"
"Unused Time" "2019-05-29 04:26:40.002" "2019-05-29 05:17:40.004"
CAL_Arp220 "2019-05-29 05:17:40.004" "2019-05-29 05:20:40.004"
TransitionBlock "2019-05-29 05:20:40.004" "2019-05-29 05:21:40.004"
"Unused Time" "2019-05-29 05:21:40.004" "2019-05-29 05:25:20.004"
CAL_1153+495 "2019-05-29 05:25:20.004" "2019-05-29 05:28:20.004"
TransitionBlock "2019-05-29 05:28:20.004" "2019-05-29 05:29:00.004"
"Unused Time" "2019-05-29 05:29:00.004" "2019-05-29 06:16:20.006"
CAL_IRC+10216 "2019-05-29 06:16:20.006" "2019-05-29 06:19:20.006"
TransitionBlock "2019-05-29 06:19:20.006" "2019-05-29 06:20:40.006"
"Unused Time" "2019-05-29 06:20:40.006" "2019-05-29 06:22:00.006"
CAL_Arp220 "2019-05-29 06:22:00.006" "2019-05-29 06:25:00.006"
TransitionBlock "2019-05-29 06:25:00.006" "2019-05-29 06:26:00.006"
"Unused Time" "2019-05-29 06:26:00.006" "2019-05-29 06:26:40.006"
CAL_1153+495 "2019-05-29 06:26:40.006" "2019-05-29 06:29:40.006"
TransitionBlock "2019-05-29 06:29:40.006" "2019-05-29 06:30:20.006"
"Unused Time" "2019-05-29 06:30:20.006" "2019-05-29 07:16:20.008"
CAL_IRC+10216 "2019-05-29 07:16:20.008" "2019-05-29 07:19:20.008"
TransitionBlock "2019-05-29 07:19:20.008" "2019-05-29 07:20:00.008"
"Unused Time" "2019-05-29 07:20:00.008" "2019-05-29 07:20:40.008"
CAL_1153+495 "2019-05-29 07:20:40.008" "2019-05-29 07:23:40.008"
TransitionBlock "2019-05-29 07:23:40.008" "2019-05-29 07:24:40.008"
"Unused Time" "2019-05-29 07:24:40.008" "2019-05-29 07:25:00.009"
CAL_Arp220 "2019-05-29 07:25:00.009" "2019-05-29 07:28:00.009"
"Unused Time" "2019-05-29 07:28:00.009" "2019-05-29 08:21:20.011"
CAL_Arp220 "2019-05-29 08:21:20.011" "2019-05-29 08:24:20.011"
TransitionBlock "2019-05-29 08:24:20.011" "2019-05-29 08:25:20.011"
"Unused Time" "2019-05-29 08:25:20.011" "2019-05-29 08:25:40.011"
CAL_1153+495 "2019-05-29 08:25:40.011" "2019-05-29 08:28:40.011"
"Unused Time" "2019-05-29 08:28:40.011" "2019-05-29 09:15:00.013"
CAL_1153+495 "2019-05-29 09:15:00.013" "2019-05-29 09:18:00.013"
TransitionBlock "2019-05-29 09:18:00.013" "2019-05-29 09:19:00.013"
"Unused Time" "2019-05-29 09:19:00.013" "2019-05-29 10:21:20.015"
CAL_Arp220 "2019-05-29 10:21:20.015" "2019-05-29 10:24:20.015"
TransitionBlock "2019-05-29 10:24:20.015" "2019-05-29 10:25:20.015"
"Unused Time" "2019-05-29 10:25:20.015" "2019-05-29 11:15:40.017"
CAL_MWC349 "2019-05-29 11:15:40.017" "2019-05-29 11:18:40.017"
TransitionBlock "2019-05-29 11:18:40.017" "2019-05-29 11:19:20.017"
"Unused Time" "2019-05-29 11:19:20.017" "2019-05-29 11:21:00.017"
CAL_1739+522 "2019-05-29 11:21:00.017" "2019-05-29 11:24:00.017"
TransitionBlock "2019-05-29 11:24:00.017" "2019-05-29 11:25:00.017"
CAL_G34.3 "2019-05-29 11:25:00.017" "2019-05-29 11:28:00.017"
TransitionBlock "2019-05-29 11:28:00.017" "2019-05-29 11:28:40.017"
"Unused Time" "2019-05-29 11:28:40.017" "2019-05-29 12:16:00.019"
CAL_MWC349 "2019-05-29 12:16:00.019" "2019-05-29 12:19:00.019"
TransitionBlock "2019-05-29 12:19:00.019" "2019-05-29 12:19:40.019"
"Unused Time" "2019-05-29 12:19:40.019" "2019-05-29 12:20:20.019"
CAL_1739+522 "2019-05-29 12:20:20.019" "2019-05-29 12:23:20.019"
TransitionBlock "2019-05-29 12:23:20.019" "2019-05-29 12:24:20.019"
"Unused Time" "2019-05-29 12:24:20.019" "2019-05-29 12:25:40.020"
CAL_G34.3 "2019-05-29 12:25:40.020" "2019-05-29 12:28:40.020"
TransitionBlock "2019-05-29 12:28:40.020" "2019-05-29 12:29:20.020"
"Unused Time" "2019-05-29 12:29:20.020" "2019-05-29 13:16:00.021"
CAL_MWC349 "2019-05-29 13:16:00.021" "2019-05-29 13:19:00.021"
TransitionBlock "2019-05-29 13:19:00.021" "2019-05-29 13:19:40.021"
