target "start time (UTC)" "end time (UTC)"
"Unused Time" "2019-01-23 03:30:00.000" "2019-01-23 04:17:20.002"
CAL_CRL618 "2019-01-23 04:17:20.002" "2019-01-23 04:20:20.002"
TransitionBlock "2019-01-23 04:20:20.002" "2019-01-23 04:20:40.002"
"Unused Time" "2019-01-23 04:20:40.002" "2019-01-23 04:22:40.002"
CAL_3C84 "2019-01-23 04:22:40.002" "2019-01-23 04:25:40.002"
TransitionBlock "2019-01-23 04:25:40.002" "2019-01-23 04:26:00.002"
"Unused Time" "2019-01-23 04:26:00.002" "2019-01-23 04:26:40.002"
CAL_CRL618 "2019-01-23 04:26:40.002" "2019-01-23 04:29:40.002"
"Unused Time" "2019-01-23 04:29:40.002" "2019-01-23 05:17:40.004"
CAL_CRL618 "2019-01-23 05:17:40.004" "2019-01-23 05:20:40.004"
CAL_CRL618 "2019-01-23 05:20:40.004" "2019-01-23 05:23:40.004"
TransitionBlock "2019-01-23 05:23:40.004" "2019-01-23 05:24:00.004"
"Unused Time" "2019-01-23 05:24:00.004" "2019-01-23 05:25:20.004"
CAL_3C84 "2019-01-23 05:25:20.004" "2019-01-23 05:28:20.004"
TransitionBlock "2019-01-23 05:28:20.004" "2019-01-23 05:28:40.004"
"Unused Time" "2019-01-23 05:28:40.004" "2019-01-23 06:16:20.006"
CAL_CRL618 "2019-01-23 06:16:20.006" "2019-01-23 06:19:20.006"
TransitionBlock "2019-01-23 06:19:20.006" "2019-01-23 06:19:40.006"
"Unused Time" "2019-01-23 06:19:40.006" "2019-01-23 06:22:00.006"
CAL_3C84 "2019-01-23 06:22:00.006" "2019-01-23 06:25:00.006"
TransitionBlock "2019-01-23 06:25:00.006" "2019-01-23 06:25:20.006"
"Unused Time" "2019-01-23 06:25:20.006" "2019-01-23 06:26:40.006"
CAL_CRL618 "2019-01-23 06:26:40.006" "2019-01-23 06:29:40.006"
TransitionBlock "2019-01-23 06:29:40.006" "2019-01-23 06:30:00.006"
"Unused Time" "2019-01-23 06:30:00.006" "2019-01-23 07:16:20.008"
CAL_3C84 "2019-01-23 07:16:20.008" "2019-01-23 07:19:20.008"
TransitionBlock "2019-01-23 07:19:20.008" "2019-01-23 07:19:40.008"
"Unused Time" "2019-01-23 07:19:40.008" "2019-01-23 07:21:40.009"
CAL_CRL618 "2019-01-23 07:21:40.009" "2019-01-23 07:24:40.009"
"Unused Time" "2019-01-23 07:24:40.009" "2019-01-23 07:25:00.009"
CAL_CRL618 "2019-01-23 07:25:00.009" "2019-01-23 07:28:00.009"
"Unused Time" "2019-01-23 07:28:00.009" "2019-01-23 08:16:40.011"
CAL_CRL618 "2019-01-23 08:16:40.011" "2019-01-23 08:19:40.011"
TransitionBlock "2019-01-23 08:19:40.011" "2019-01-23 08:20:00.011"
"Unused Time" "2019-01-23 08:20:00.011" "2019-01-23 08:21:20.011"
CAL_3C84 "2019-01-23 08:21:20.011" "2019-01-23 08:24:20.011"
TransitionBlock "2019-01-23 08:24:20.011" "2019-01-23 08:24:40.011"
"Unused Time" "2019-01-23 08:24:40.011" "2019-01-23 08:25:40.011"
CAL_CRL618 "2019-01-23 08:25:40.011" "2019-01-23 08:28:40.011"
TransitionBlock "2019-01-23 08:28:40.011" "2019-01-23 08:29:00.011"
"Unused Time" "2019-01-23 08:29:00.011" "2019-01-23 09:15:00.013"
CAL_3C84 "2019-01-23 09:15:00.013" "2019-01-23 09:18:00.013"
TransitionBlock "2019-01-23 09:18:00.013" "2019-01-23 09:18:20.013"
"Unused Time" "2019-01-23 09:18:20.013" "2019-01-23 09:19:40.013"
