target "start time (UTC)" "end time (UTC)"
XMM-LSS-020 "2019-02-10 03:30:00.000" "2019-02-10 04:11:40.000"
TransitionBlock "2019-02-10 04:11:40.000" "2019-02-10 04:12:40.000"
"Unused Time" "2019-02-10 04:12:40.000" "2019-02-10 04:15:20.002"
CAL_CRL618 "2019-02-10 04:15:20.002" "2019-02-10 04:18:20.002"
CAL_CRL618 "2019-02-10 04:18:20.002" "2019-02-10 04:21:20.002"
TransitionBlock "2019-02-10 04:21:20.002" "2019-02-10 04:22:00.002"
"Unused Time" "2019-02-10 04:22:00.002" "2019-02-10 04:25:40.002"
CAL_0529+075 "2019-02-10 04:25:40.002" "2019-02-10 04:28:40.002"
TransitionBlock "2019-02-10 04:28:40.002" "2019-02-10 04:29:40.002"
"Unused Time" "2019-02-10 04:29:40.002" "2019-02-10 04:31:40.002"
XMM-LSS-020 "2019-02-10 04:31:40.002" "2019-02-10 05:13:20.002"
TransitionBlock "2019-02-10 05:13:20.002" "2019-02-10 05:14:20.002"
"Unused Time" "2019-02-10 05:14:20.002" "2019-02-10 05:15:00.004"
CAL_CRL618 "2019-02-10 05:15:00.004" "2019-02-10 05:18:00.004"
CAL_CRL618 "2019-02-10 05:18:00.004" "2019-02-10 05:21:00.004"
TransitionBlock "2019-02-10 05:21:00.004" "2019-02-10 05:21:40.004"
"Unused Time" "2019-02-10 05:21:40.004" "2019-02-10 05:26:00.004"
CAL_0529+075 "2019-02-10 05:26:00.004" "2019-02-10 05:29:00.004"
TransitionBlock "2019-02-10 05:29:00.004" "2019-02-10 05:30:00.004"
"Unused Time" "2019-02-10 05:30:00.004" "2019-02-10 05:32:40.005"
XMM-LSS-020 "2019-02-10 05:32:40.005" "2019-02-10 06:14:20.005"
TransitionBlock "2019-02-10 06:14:20.005" "2019-02-10 06:15:20.005"
"Unused Time" "2019-02-10 06:15:20.005" "2019-02-10 06:16:40.006"
CAL_CRL618 "2019-02-10 06:16:40.006" "2019-02-10 06:19:40.006"
TransitionBlock "2019-02-10 06:19:40.006" "2019-02-10 06:20:20.006"
"Unused Time" "2019-02-10 06:20:20.006" "2019-02-10 06:20:40.006"
CAL_0529+075 "2019-02-10 06:20:40.006" "2019-02-10 06:23:40.006"
TransitionBlock "2019-02-10 06:23:40.006" "2019-02-10 06:24:20.006"
"Unused Time" "2019-02-10 06:24:20.006" "2019-02-10 06:27:00.007"
CAL_CRL618 "2019-02-10 06:27:00.007" "2019-02-10 06:30:00.007"
TransitionBlock "2019-02-10 06:30:00.007" "2019-02-10 06:31:00.007"
"Unused Time" "2019-02-10 06:31:00.007" "2019-02-10 06:31:20.007"
XMM-LSS-039 "2019-02-10 06:31:20.007" "2019-02-10 07:13:00.007"
TransitionBlock "2019-02-10 07:13:00.007" "2019-02-10 07:13:40.007"
"Unused Time" "2019-02-10 07:13:40.007" "2019-02-10 07:18:40.008"
CAL_0529+075 "2019-02-10 07:18:40.008" "2019-02-10 07:21:40.008"
TransitionBlock "2019-02-10 07:21:40.008" "2019-02-10 07:22:20.008"
"Unused Time" "2019-02-10 07:22:20.008" "2019-02-10 07:24:40.009"
CAL_CRL618 "2019-02-10 07:24:40.009" "2019-02-10 07:27:40.009"
TransitionBlock "2019-02-10 07:27:40.009" "2019-02-10 07:28:20.009"
"Unused Time" "2019-02-10 07:28:20.009" "2019-02-10 08:18:40.011"
CAL_0529+075 "2019-02-10 08:18:40.011" "2019-02-10 08:21:40.011"
TransitionBlock "2019-02-10 08:21:40.011" "2019-02-10 08:22:20.011"
CAL_CRL618 "2019-02-10 08:22:20.011" "2019-02-10 08:25:20.011"
CAL_CRL618 "2019-02-10 08:25:20.011" "2019-02-10 08:28:20.011"
TransitionBlock "2019-02-10 08:28:20.011" "2019-02-10 08:29:00.011"
"Unused Time" "2019-02-10 08:29:00.011" "2019-02-10 09:19:20.013"
CAL_0529+075 "2019-02-10 09:19:20.013" "2019-02-10 09:22:20.013"
TransitionBlock "2019-02-10 09:22:20.013" "2019-02-10 09:23:00.013"
"Unused Time" "2019-02-10 09:23:00.013" "2019-02-10 09:23:20.013"
CAL_CRL618 "2019-02-10 09:23:20.013" "2019-02-10 09:26:20.013"
"Unused Time" "2019-02-10 09:26:20.013" "2019-02-10 09:27:00.013"
